詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
一輩子,ㄧ ㄅㄟˋ ˙ㄗ,ㄧ ㄅㄟˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
一部分,ㄧ ㄅㄨˋ ㄈㄣˋ,ㄧ ㄅㄨˋ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
一盤散沙,ㄧ ㄆㄢˊ ㄙㄢˇ ㄕㄚ,ㄧ ㄆㄢˊ ㄙㄢˋ ㄕㄚ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
一脈相承,ㄧ ㄇㄞˋ ㄒㄧㄤ ㄔㄥˊ,ㄧ ㄇㄞˋ ㄒㄧㄤˋ ㄔㄥˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
一脈相傳,ㄧ ㄇㄞˋ ㄒㄧㄤ ㄔㄨㄢˊ,ㄧ ㄇㄞˋ ㄒㄧㄤˋ ㄔㄨㄢˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
一面倒,ㄧ ㄇㄧㄢˋ ㄉㄠˇ,ㄧ ㄇㄧㄢˋ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
一目了然,ㄧ ㄇㄨˋ ㄌㄧㄠˇ ㄖㄢˊ,ㄧ ㄇㄨˋ ˙ㄌㄜ ㄖㄢˊ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
一目十行,ㄧ ㄇㄨˋ ㄕˊ ㄏㄤˊ,ㄧ ㄇㄨˋ ㄕˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
一分子,ㄧ ㄈㄣˋ ㄗˇ,ㄧ ㄈㄣ ㄗˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
一肚子,ㄧ ㄉㄨˋ ˙ㄗ,ㄧ ㄉㄨˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
一年半載,ㄧ ㄋㄧㄢˊ ㄅㄢˋ ㄗㄞˇ,ㄧ ㄋㄧㄢˊ ㄅㄢˋ ㄗㄞˋ,載:ㄗㄞˋ→ㄗㄞˇ(IVS+1),IVS可修,
一了百了,ㄧ ㄌㄧㄠˇ ㄅㄞˇ ㄌㄧㄠˇ,ㄧ ˙ㄌㄜ ㄅㄞˇ ˙ㄌㄜ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1); 了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
一了心願,ㄧ ㄌㄧㄠˇ ㄒㄧㄣ ㄩㄢˋ,ㄧ ˙ㄌㄜ ㄒㄧㄣ ㄩㄢˋ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
一溜,ㄧ ㄌㄧㄡˋ,ㄧ ㄌㄧㄡ,溜:ㄌㄧㄡ→ㄌㄧㄡˋ(IVS+1),IVS可修,
一鱗半爪,ㄧ ㄌㄧㄣˊ ㄅㄢˋ ㄓㄠˇ,ㄧ ㄌㄧㄣˊ ㄅㄢˋ ㄓㄨㄚˇ,爪:ㄓㄨㄚˇ→ㄓㄠˇ(IVS+1),IVS可修,
一骨碌,ㄧ ㄍㄨ ㄌㄨˋ,ㄧ ㄍㄨˇ ㄌㄨˋ,骨:ㄍㄨˇ→ㄍㄨ(IVS+1),IVS可修,
一晃眼,ㄧ ㄏㄨㄤˇ ㄧㄢˇ,ㄧ ㄏㄨㄤˋ ㄧㄢˇ,晃:ㄏㄨㄤˋ→ㄏㄨㄤˇ(IVS+1),IVS可修,
一肩挑,ㄧ ㄐㄧㄢ ㄊㄧㄠ,ㄧ ㄐㄧㄢ ㄊㄧㄠˇ,挑:ㄊㄧㄠˇ→ㄊㄧㄠ(IVS+1),IVS可修,
一切,ㄧ ㄑㄧㄝˋ,ㄧ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
一切從簡,ㄧ ㄑㄧㄝˋ ㄘㄨㄥˊ ㄐㄧㄢˇ,ㄧ ㄑㄧㄝ ㄘㄨㄥˊ ㄐㄧㄢˇ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
一下子,ㄧ ㄒㄧㄚˋ ˙ㄗ,ㄧ ㄒㄧㄚˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
一相情願,ㄧ ㄒㄧㄤ ㄑㄧㄥˊ ㄩㄢˋ,ㄧ ㄒㄧㄤˋ ㄑㄧㄥˊ ㄩㄢˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
一朝,ㄧ ㄓㄠ,ㄧ ㄔㄠˊ,朝:ㄔㄠˊ→ㄓㄠ(IVS+1),IVS可修,
一朝一夕,ㄧ ㄓㄠ ㄧ ㄒㄧˋ,ㄧ ㄔㄠˊ ㄧ ㄒㄧˋ,朝:ㄔㄠˊ→ㄓㄠ(IVS+1),IVS可修,
一盞茶工夫,ㄧ ㄓㄢˇ ㄔㄚˊ ㄍㄨㄥ ˙ㄈㄨ,ㄧ ㄓㄢˇ ㄔㄚˊ ㄍㄨㄥ ㄈㄨ,夫:ㄈㄨ→˙ㄈㄨ(字型無此讀音),字型缺讀音,
一陣子,ㄧ ㄓㄣˋ ˙ㄗ,ㄧ ㄓㄣˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
一處,ㄧ ㄔㄨˋ,ㄧ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
一走了之,ㄧ ㄗㄡˇ ㄌㄧㄠˇ ㄓ,ㄧ ㄗㄡˇ ˙ㄌㄜ ㄓ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
一次全倒,ㄧ ㄘˋ ㄑㄩㄢˊ ㄉㄠˇ,ㄧ ㄘˋ ㄑㄩㄢˊ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
一蹴可幾,ㄧ ㄘㄨˋ ㄎㄜˇ ㄐㄧ,ㄧ ㄘㄨˋ ㄎㄜˇ ㄐㄧˇ,幾:ㄐㄧˇ→ㄐㄧ(IVS+1),IVS可修,
一無是處,ㄧ ㄨˊ ㄕˋ ㄔㄨˋ,ㄧ ㄨˊ ㄕˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
一語中的,ㄧ ㄩˇ ㄓㄨㄥˋ ㄉㄧˋ,ㄧ ㄩˇ ㄓㄨㄥ ˙ㄉㄜ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1); 的:˙ㄉㄜ→ㄉㄧˋ(IVS+2),IVS可修,
衣冠禽獸,ㄧ ㄍㄨㄢ ㄑㄧㄣˊ ㄕㄡˋ,ㄧ ㄍㄨㄢˋ ㄑㄧㄣˊ ㄕㄡˋ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
衣冠塚,ㄧ ㄍㄨㄢ ㄓㄨㄥˇ,ㄧ ㄍㄨㄢˋ ㄓㄨㄥˇ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
衣冠楚楚,ㄧ ㄍㄨㄢ ㄔㄨˇ ㄔㄨˇ,ㄧ ㄍㄨㄢˋ ㄔㄨˇ ㄔㄨˇ,冠:ㄍㄨㄢˋ→ㄍㄨㄢ(IVS+1),IVS可修,
衣架子,ㄧ ㄐㄧㄚˋ ˙ㄗ,ㄧ ㄐㄧㄚˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
衣著,ㄧ ㄓㄨㄛˊ,ㄧ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨㄛˊ(IVS+4),IVS可修,
衣裳,ㄧ ˙ㄕㄤ,ㄧ ㄔㄤˊ,裳:ㄔㄤˊ→˙ㄕㄤ(IVS+1),IVS可修,
依傍,ㄧ ㄅㄤˋ,ㄧ ㄅㄤ,傍:ㄅㄤ→ㄅㄤˋ(IVS+1),IVS可修,
依法炮製,ㄧ ㄈㄚˇ ㄆㄠˊ ㄓˋ,ㄧ ㄈㄚˇ ㄆㄠˋ ㄓˋ,炮:ㄆㄠˋ→ㄆㄠˊ(IVS+1),IVS可修,
姨太太,ㄧˊ ㄊㄞˋ ˙ㄊㄞ,ㄧˊ ㄊㄞˋ ㄊㄞˋ,太:ㄊㄞˋ→˙ㄊㄞ(IVS+1),IVS可修,
移民媽媽,ㄧˊ ㄇㄧㄣˊ ㄇㄚ ˙ㄇㄚ,ㄧˊ ㄇㄧㄣˊ ㄇㄚ ㄇㄚ,媽:ㄇㄚ→˙ㄇㄚ(IVS+1),IVS可修,
遺著,ㄧˊ ㄓㄨˋ,ㄧˊ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
以禮相待,ㄧˇ ㄌㄧˇ ㄒㄧㄤ ㄉㄞˋ,ㄧˇ ㄌㄧˇ ㄒㄧㄤˋ ㄉㄞˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
以身相許,ㄧˇ ㄕㄣ ㄒㄧㄤ ㄒㄩˇ,ㄧˇ ㄕㄣ ㄒㄧㄤˋ ㄒㄩˇ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
以牙還牙,ㄧˇ ㄧㄚˊ ㄏㄨㄢˊ ㄧㄚˊ,ㄧˇ ㄧㄚˊ ㄏㄞˊ ㄧㄚˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
椅子,ㄧˇ ˙ㄗ,ㄧˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
衣錦還鄉,ㄧˋ ㄐㄧㄣˇ ㄏㄨㄢˊ ㄒㄧㄤ,ㄧ ㄐㄧㄣˇ ㄏㄞˊ ㄒㄧㄤ,衣:ㄧ→ㄧˋ(IVS+1); 還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
衣錦榮歸,ㄧˋ ㄐㄧㄣˇ ㄖㄨㄥˊ ㄍㄨㄟ,ㄧ ㄐㄧㄣˇ ㄖㄨㄥˊ ㄍㄨㄟ,衣:ㄧ→ㄧˋ(IVS+1),IVS可修,
洩洩,ㄧˋ ㄧˋ,ㄒㄧㄝˋ ㄒㄧㄝˋ,洩:ㄒㄧㄝˋ→ㄧˋ(IVS+1); 洩:ㄒㄧㄝˋ→ㄧˋ(IVS+1),IVS可修,
泄泄,ㄧˋ ㄧˋ,ㄒㄧㄝˋ ㄒㄧㄝˋ,泄:ㄒㄧㄝˋ→ㄧˋ(IVS+1); 泄:ㄒㄧㄝˋ→ㄧˋ(IVS+1),IVS可修,
益處,ㄧˋ ㄔㄨˋ,ㄧˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
逸興,ㄧˋ ㄒㄧㄥˋ,ㄧˋ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
意興,ㄧˋ ㄒㄧㄥˋ,ㄧˋ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
意興闌珊,ㄧˋ ㄒㄧㄥˋ ㄌㄢˊ ㄕㄢ,ㄧˋ ㄒㄧㄥ ㄌㄢˊ ㄕㄢ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
臆度,ㄧˋ ㄉㄨㄛˋ,ㄧˋ ㄉㄨˋ,度:ㄉㄨˋ→ㄉㄨㄛˋ(IVS+1),IVS可修,
譯著,ㄧˋ ㄓㄨˋ,ㄧˋ ˙ㄓㄜ,著:˙ㄓㄜ→ㄓㄨˋ(IVS+1),IVS可修,
丫頭,ㄧㄚ ˙ㄊㄡ,ㄧㄚ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
押解,ㄧㄚ ㄐㄧㄝˋ,ㄧㄚ ㄐㄧㄝˇ,解:ㄐㄧㄝˇ→ㄐㄧㄝˋ(IVS+1),IVS可修,
鴨子,ㄧㄚ ˙ㄗ,ㄧㄚ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
啞啞,ㄧㄚ ㄧㄚ,ㄧㄚˇ ㄧㄚˇ,啞:ㄧㄚˇ→ㄧㄚ(IVS+1); 啞:ㄧㄚˇ→ㄧㄚ(IVS+1),IVS可修,
壓倒,ㄧㄚ ㄉㄠˇ,ㄧㄚ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
壓倒性,ㄧㄚ ㄉㄠˇ ㄒㄧㄥˋ,ㄧㄚ ㄉㄠˋ ㄒㄧㄥˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
枒杈,ㄧㄚˊ ㄔㄚ,ㄧㄚˊ ㄔㄚˋ,杈:ㄔㄚˋ→ㄔㄚ(IVS+1),IVS可修,
雅興,ㄧㄚˇ ㄒㄧㄥˋ,ㄧㄚˇ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
雅樂,ㄧㄚˇ ㄩㄝˋ,ㄧㄚˇ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
軋鋼,ㄧㄚˋ ㄍㄤ,ㄍㄚˊ ㄍㄤ,軋:ㄍㄚˊ→ㄧㄚˋ(IVS+1),IVS可修,
揠苗助長,ㄧㄚˋ ㄇㄧㄠˊ ㄓㄨˋ ㄓㄤˇ,ㄧㄚˋ ㄇㄧㄠˊ ㄓㄨˋ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
爺爺,ㄧㄝˊ ˙ㄧㄝ,ㄧㄝˊ ㄧㄝˊ,爺:ㄧㄝˊ→˙ㄧㄝ(IVS+1),IVS可修,
椰子,ㄧㄝˊ ˙ㄗ,ㄧㄝˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
斜谷,ㄧㄝˊ ㄍㄨˇ,ㄒㄧㄝˊ ㄍㄨˇ,斜:ㄒㄧㄝˊ→ㄧㄝˊ(IVS+1),IVS可修,
野孩子,ㄧㄝˇ ㄏㄞˊ ˙ㄗ,ㄧㄝˇ ㄏㄞˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
夜貓子,ㄧㄝˋ ㄇㄠ ˙ㄗ,ㄧㄝˋ ㄇㄠ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
射干,ㄧㄝˋ ㄍㄢ,ㄕㄜˋ ㄍㄢ,射:ㄕㄜˋ→ㄧㄝˋ(IVS+1),IVS可修,
葉子,ㄧㄝˋ ˙ㄗ,ㄧㄝˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
么麼,ㄧㄠ ㄇㄛˊ,ㄧㄠ ˙ㄇㄜ,麼:˙ㄇㄜ→ㄇㄛˊ(IVS+2),IVS可修,
吆喝,ㄧㄠ ㄏㄜˋ,ㄧㄠ ㄏㄜ,喝:ㄏㄜ→ㄏㄜˋ(IVS+1),IVS可修,
要求,ㄧㄠ ㄑㄧㄡˊ,ㄧㄠˋ ㄑㄧㄡˊ,要:ㄧㄠˋ→ㄧㄠ(IVS+1),IVS可修,
要挾,ㄧㄠ ㄒㄧㄚˊ,ㄧㄠˋ ㄒㄧㄚˊ,要:ㄧㄠˋ→ㄧㄠ(IVS+1),IVS可修,
要脅,ㄧㄠ ㄒㄧㄝˊ,ㄧㄠˋ ㄒㄧㄝˊ,要:ㄧㄠˋ→ㄧㄠ(IVS+1),IVS可修,
腰子,ㄧㄠ ˙ㄗ,ㄧㄠ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
搖滾樂,ㄧㄠˊ ㄍㄨㄣˇ ㄩㄝˋ,ㄧㄠˊ ㄍㄨㄣˇ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
咬牙切齒,ㄧㄠˇ ㄧㄚˊ ㄑㄧㄝˋ ㄔˇ,ㄧㄠˇ ㄧㄚˊ ㄑㄧㄝ ㄔˇ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
舀子,ㄧㄠˇ ˙ㄗ,ㄧㄠˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
要不得,ㄧㄠˋ ㄅㄨˋ ˙ㄉㄜ,ㄧㄠˋ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
要得,ㄧㄠˋ ˙ㄉㄜ,ㄧㄠˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
要角,ㄧㄠˋ ㄐㄩㄝˊ,ㄧㄠˋ ㄐㄧㄠˇ,角:ㄐㄧㄠˇ→ㄐㄩㄝˊ(IVS+1),IVS可修,
要塞,ㄧㄠˋ ㄙㄞˋ,ㄧㄠˋ ㄙㄞ,塞:ㄙㄞ→ㄙㄞˋ(IVS+2),IVS可修,
樂群,ㄧㄠˋ ㄑㄩㄣˊ,ㄌㄜˋ ㄑㄩㄣˊ,樂:ㄌㄜˋ→ㄧㄠˋ(IVS+2),IVS可修,
藥罐子,ㄧㄠˋ ㄍㄨㄢˋ ˙ㄗ,ㄧㄠˋ ㄍㄨㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
藥行,ㄧㄠˋ ㄏㄤˊ,ㄧㄠˋ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
鷂子,ㄧㄠˋ ˙ㄗ,ㄧㄠˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
鑰匙,ㄧㄠˋ ˙ㄕ,ㄧㄠˋ ㄔˊ,匙:ㄔˊ→˙ㄕ(IVS+1),IVS可修,
由不得,ㄧㄡˊ ㄅㄨˋ ˙ㄉㄜ,ㄧㄡˊ ㄅㄨˋ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
油行,ㄧㄡˊ ㄏㄤˊ,ㄧㄡˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
油腔滑調,ㄧㄡˊ ㄑㄧㄤ ㄏㄨㄚˊ ㄉㄧㄠˋ,ㄧㄡˊ ㄑㄧㄤ ㄏㄨㄚˊ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
油炸,ㄧㄡˊ ㄓㄚˊ,ㄧㄡˊ ㄓㄚˋ,炸:ㄓㄚˋ→ㄓㄚˊ(IVS+1),IVS可修,
游手好閒,ㄧㄡˊ ㄕㄡˇ ㄏㄠˋ ㄒㄧㄢˊ,ㄧㄡˊ ㄕㄡˇ ㄏㄠˇ ㄒㄧㄢˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
遊興,ㄧㄡˊ ㄒㄧㄥˋ,ㄧㄡˊ ㄒㄧㄥ,興:ㄒㄧㄥ→ㄒㄧㄥˋ(IVS+1),IVS可修,
遊手好閒,ㄧㄡˊ ㄕㄡˇ ㄏㄠˋ ㄒㄧㄢˊ,ㄧㄡˊ ㄕㄡˇ ㄏㄠˇ ㄒㄧㄢˊ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
遊說,ㄧㄡˊ ㄕㄨㄟˋ,ㄧㄡˊ ㄕㄨㄛ,說:ㄕㄨㄛ→ㄕㄨㄟˋ(IVS+1),IVS可修,
郵差,ㄧㄡˊ ㄔㄞ,ㄧㄡˊ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
有分,ㄧㄡˇ ㄈㄣˋ,ㄧㄡˇ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
有看頭,ㄧㄡˇ ㄎㄢˋ ˙ㄊㄡ,ㄧㄡˇ ㄎㄢˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
有空,ㄧㄡˇ ㄎㄨㄥˋ,ㄧㄡˇ ㄎㄨㄥ,空:ㄎㄨㄥ→ㄎㄨㄥˋ(IVS+1),IVS可修,
有行無市,ㄧㄡˇ ㄏㄤˊ ㄨˊ ㄕˋ,ㄧㄡˇ ㄒㄧㄥˊ ㄨˊ ㄕˋ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
有求必應,ㄧㄡˇ ㄑㄧㄡˊ ㄅㄧˋ ㄧㄥˋ,ㄧㄡˇ ㄑㄧㄡˊ ㄅㄧˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
有錢能使鬼推磨,ㄧㄡˇ ㄑㄧㄢˊ ㄋㄥˊ ㄕˇ ㄍㄨㄟˇ ㄊㄨㄟ ㄇㄛˋ,ㄧㄡˇ ㄑㄧㄢˊ ㄋㄥˊ ㄕˇ ㄍㄨㄟˇ ㄊㄨㄟ ㄇㄛˊ,磨:ㄇㄛˊ→ㄇㄛˋ(IVS+1),IVS可修,
有朝一日,ㄧㄡˇ ㄓㄠ ㄧ ㄖˋ,ㄧㄡˇ ㄔㄠˊ ㄧ ㄖˋ,朝:ㄔㄠˊ→ㄓㄠ(IVS+1),IVS可修,
有賺頭,ㄧㄡˇ ㄓㄨㄢˋ ˙ㄊㄡ,ㄧㄡˇ ㄓㄨㄢˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
有意思,ㄧㄡˇ ㄧˋ ˙ㄙ,ㄧㄡˇ ㄧˋ ㄙ,思:ㄙ→˙ㄙ(IVS+2),IVS可修,
右翼分子,ㄧㄡˋ ㄧˋ ㄈㄣˋ ㄗˇ,ㄧㄡˋ ㄧˋ ㄈㄣ ㄗˇ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
柚子,ㄧㄡˋ ˙ㄗ,ㄧㄡˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
淹沒,ㄧㄢ ㄇㄛˋ,ㄧㄢ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
殷紅,ㄧㄢ ㄏㄨㄥˊ,ㄧㄣ ㄏㄨㄥˊ,殷:ㄧㄣ→ㄧㄢ(IVS+2),IVS可修,
閼氏,ㄧㄢ ㄓ,ㄜˋ ㄕˋ,閼:ㄜˋ→ㄧㄢ(IVS+2); 氏:ㄕˋ→ㄓ(IVS+1),IVS可修,
言歸正傳,ㄧㄢˊ ㄍㄨㄟ ㄓㄥˋ ㄓㄨㄢˋ,ㄧㄢˊ ㄍㄨㄟ ㄓㄥˋ ㄔㄨㄢˊ,傳:ㄔㄨㄢˊ→ㄓㄨㄢˋ(IVS+1),IVS可修,
掩沒,ㄧㄢˇ ㄇㄛˋ,ㄧㄢˇ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
雁行,ㄧㄢˋ ㄏㄤˊ,ㄧㄢˋ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
厭惡,ㄧㄢˋ ㄨˋ,ㄧㄢˋ ㄜˋ,惡:ㄜˋ→ㄨˋ(IVS+1),IVS可修,
燕子,ㄧㄢˋ ˙ㄗ,ㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
因果報應,ㄧㄣ ㄍㄨㄛˇ ㄅㄠˋ ㄧㄥˋ,ㄧㄣ ㄍㄨㄛˇ ㄅㄠˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
因應,ㄧㄣ ㄧㄥˋ,ㄧㄣ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
因為,ㄧㄣ ㄨㄟˋ,ㄧㄣ ㄨㄟˊ,為:ㄨㄟˊ→ㄨㄟˋ(IVS+1),IVS可修,
音調,ㄧㄣ ㄉㄧㄠˋ,ㄧㄣ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
音樂,ㄧㄣ ㄩㄝˋ,ㄧㄣ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
音樂盒,ㄧㄣ ㄩㄝˋ ㄏㄜˊ,ㄧㄣ ㄌㄜˋ ㄏㄜˊ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
音樂家,ㄧㄣ ㄩㄝˋ ㄐㄧㄚ,ㄧㄣ ㄌㄜˋ ㄐㄧㄚ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
音樂劇,ㄧㄣ ㄩㄝˋ ㄐㄩˋ,ㄧㄣ ㄌㄜˋ ㄐㄩˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
音樂治療,ㄧㄣ ㄩㄝˋ ㄓˋ ㄌㄧㄠˊ,ㄧㄣ ㄌㄜˋ ㄓˋ ㄌㄧㄠˊ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
殷切,ㄧㄣ ㄑㄧㄝˋ,ㄧㄣ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
陰盛陽衰,ㄧㄣ ㄕㄥˋ ㄧㄤˊ ㄕㄨㄞ,ㄧㄣ ㄔㄥˊ ㄧㄤˊ ㄕㄨㄞ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
湮沒,ㄧㄣ ㄇㄛˋ,ㄧㄣ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
湮沒無聞,ㄧㄣ ㄇㄛˋ ㄨˊ ㄨㄣˊ,ㄧㄣ ㄇㄟˊ ㄨˊ ㄨㄣˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
銀行,ㄧㄣˊ ㄏㄤˊ,ㄧㄣˊ ㄒㄧㄥˊ,行:ㄒㄧㄥˊ→ㄏㄤˊ(IVS+1),IVS可修,
銀子,ㄧㄣˊ ˙ㄗ,ㄧㄣˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
銀絲卷,ㄧㄣˊ ㄙ ㄐㄩㄢˇ,ㄧㄣˊ ㄙ ㄐㄩㄢˋ,卷:ㄐㄩㄢˋ→ㄐㄩㄢˇ(IVS+1),IVS可修,
引吭,ㄧㄣˇ ㄏㄤˊ,ㄧㄣˇ ㄎㄥ,吭:ㄎㄥ→ㄏㄤˊ(IVS+1),IVS可修,
引子,ㄧㄣˇ ˙ㄗ,ㄧㄣˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
隱沒,ㄧㄣˇ ㄇㄛˋ,ㄧㄣˇ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
洋鬼子,ㄧㄤˊ ㄍㄨㄟˇ ˙ㄗ,ㄧㄤˊ ㄍㄨㄟˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
