詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
沮喪,ㄐㄩˇ ㄙㄤˋ,ㄐㄩˇ ㄙㄤ,沮喪󠇡,U+6CAE U+55AA U+E01E1,喪:IVS+1,
咀嚼,ㄐㄩˇ ㄐㄩㄝˊ,ㄐㄩˇ ㄐㄧㄠˊ,咀嚼󠇡,U+5480 U+56BC U+E01E1,嚼:IVS+1,
枸櫞,ㄐㄩˇ ㄩㄢˊ,ㄍㄡˇ ㄩㄢˊ,枸󠇢櫞,U+67B8 U+E01E2 U+6ADE,枸:IVS+2,
巨著,ㄐㄩˋ ㄓㄨˋ,ㄐㄩˋ ˙ㄓㄜ,巨著󠇡,U+5DE8 U+8457 U+E01E1,著:IVS+1,
鉅著,ㄐㄩˋ ㄓㄨˋ,ㄐㄩˋ ˙ㄓㄜ,鉅著󠇡,U+9245 U+8457 U+E01E1,著:IVS+1,
句讀,ㄐㄩˋ ㄉㄡˋ,ㄐㄩˋ ㄉㄨˊ,句讀󠇡,U+53E5 U+8B80 U+E01E1,讀:IVS+1,
句子,ㄐㄩˋ ˙ㄗ,ㄐㄩˋ ㄗˇ,句子󠇡,U+53E5 U+5B50 U+E01E1,子:IVS+1,
倨傲鮮腆,ㄐㄩˋ ㄠˋ ㄒㄧㄢˇ ㄊㄧㄢˇ,ㄐㄩˋ ㄠˋ ㄒㄧㄢ ㄊㄧㄢˇ,倨傲鮮󠇡腆,U+5028 U+50B2 U+9BAE U+E01E1 U+8146,鮮:IVS+1,
鋸子,ㄐㄩˋ ˙ㄗ,ㄐㄩˋ ㄗˇ,鋸子󠇡,U+92F8 U+5B50 U+E01E1,子:IVS+1,
瞿然,ㄐㄩˋ ㄖㄢˊ,ㄑㄩˊ ㄖㄢˊ,瞿󠇡然,U+77BF U+E01E1 U+7136,瞿:IVS+1,
角色,ㄐㄩㄝˊ ㄙㄜˋ,ㄐㄧㄠˇ ㄙㄜˋ,角󠇡色,U+89D2 U+E01E1 U+8272,角:IVS+1,
倔強,ㄐㄩㄝˊ ㄐㄧㄤˋ,ㄐㄩㄝˊ ㄑㄧㄤˊ,倔強󠇢,U+5014 U+5F37 U+E01E2,強:IVS+2,
絕處逢生,ㄐㄩㄝˊ ㄔㄨˋ ㄈㄥˊ ㄕㄥ,ㄐㄩㄝˊ ㄔㄨˇ ㄈㄥˊ ㄕㄥ,絕處󠇡逢生,U+7D55 U+8655 U+E01E1 U+9022 U+751F,處:IVS+1,
爵士樂,ㄐㄩㄝˊ ㄕˋ ㄩㄝˋ,ㄐㄩㄝˊ ㄕˋ ㄌㄜˋ,爵士樂󠇡,U+7235 U+58EB U+6A02 U+E01E1,樂:IVS+1,
嚼蠟,ㄐㄩㄝˊ ㄌㄚˋ,ㄐㄧㄠˊ ㄌㄚˋ,嚼󠇡蠟,U+56BC U+E01E1 U+881F,嚼:IVS+1,
覺得,ㄐㄩㄝˊ ˙ㄉㄜ,ㄐㄩㄝˊ ㄉㄜˊ,覺得󠇡,U+89BA U+5F97 U+E01E1,得:IVS+1,
身毒,ㄐㄩㄢ ㄉㄨˊ,ㄕㄣ ㄉㄨˊ,身󠇡毒,U+8EAB U+E01E1 U+6BD2,身:IVS+1,
卷雲,ㄐㄩㄢˇ ㄩㄣˊ,ㄐㄩㄢˋ ㄩㄣˊ,卷󠇡雲,U+5377 U+E01E1 U+96F2,卷:IVS+1,
捲土重來,ㄐㄩㄢˇ ㄊㄨˇ ㄔㄨㄥˊ ㄌㄞˊ,ㄐㄩㄢˇ ㄊㄨˇ ㄓㄨㄥˋ ㄌㄞˊ,捲土重󠇡來,U+6372 U+571F U+91CD U+E01E1 U+4F86,重:IVS+1,
捲曲,ㄐㄩㄢˇ ㄑㄩ,ㄐㄩㄢˇ ㄑㄩˇ,捲曲󠇡,U+6372 U+66F2 U+E01E1,曲:IVS+1,
龜裂,ㄐㄩㄣ ㄌㄧㄝˋ,ㄍㄨㄟ ㄌㄧㄝˋ,龜󠇡裂,U+9F9C U+E01E1 U+88C2,龜:IVS+1,
棋高一著,ㄑㄧˊ ㄍㄠ ㄧ ㄓㄨㄛˊ,ㄑㄧˊ ㄍㄠ ㄧ ˙ㄓㄜ,棋高一著󠇤,U+68CB U+9AD8 U+4E00 U+8457 U+E01E4,著:IVS+4,
旗鼓相當,ㄑㄧˊ ㄍㄨˇ ㄒㄧㄤ ㄉㄤ,ㄑㄧˊ ㄍㄨˇ ㄒㄧㄤˋ ㄉㄤ,旗鼓相󠇡當,U+65D7 U+9F13 U+76F8 U+E01E1 U+7576,相:IVS+1,
旗子,ㄑㄧˊ ˙ㄗ,ㄑㄧˊ ㄗˇ,旗子󠇡,U+65D7 U+5B50 U+E01E1,子:IVS+1,
騎縫,ㄑㄧˊ ㄈㄥˋ,ㄑㄧˊ ㄈㄥˊ,騎縫󠇡,U+9A0E U+7E2B U+E01E1,縫:IVS+1,
起子,ㄑㄧˇ ˙ㄗ,ㄑㄧˇ ㄗˇ,起子󠇡,U+8D77 U+5B50 U+E01E1,子:IVS+1,
稽首,ㄑㄧˇ ㄕㄡˇ,ㄐㄧ ㄕㄡˇ,稽󠇡首,U+7A3D U+E01E1 U+9996,稽:IVS+1,
氣勢磅礴,ㄑㄧˋ ㄕˋ ㄆㄤ ㄅㄛˊ,ㄑㄧˋ ㄕˋ ㄅㄤˋ ㄅㄛˊ,氣勢磅󠇡礴,U+6C23 U+52E2 U+78C5 U+E01E1 U+7934,磅:IVS+1,
氣味相投,ㄑㄧˋ ㄨㄟˋ ㄒㄧㄤ ㄊㄡˊ,ㄑㄧˋ ㄨㄟˋ ㄒㄧㄤˋ ㄊㄡˊ,氣味相󠇡投,U+6C23 U+5473 U+76F8 U+E01E1 U+6295,相:IVS+1,
棄車保帥,ㄑㄧˋ ㄐㄩ ㄅㄠˇ ㄕㄨㄞˋ,ㄑㄧˋ ㄔㄜ ㄅㄠˇ ㄕㄨㄞˋ,棄車󠇡保帥,U+68C4 U+8ECA U+E01E1 U+4FDD U+5E25,車:IVS+1,
器樂,ㄑㄧˋ ㄩㄝˋ,ㄑㄧˋ ㄌㄜˋ,器樂󠇡,U+5668 U+6A02 U+E01E1,樂:IVS+1,
恰到好處,ㄑㄧㄚˋ ㄉㄠˋ ㄏㄠˇ ㄔㄨˋ,ㄑㄧㄚˋ ㄉㄠˋ ㄏㄠˇ ㄔㄨˇ,恰到好處󠇡,U+6070 U+5230 U+597D U+8655 U+E01E1,處:IVS+1,
恰當,ㄑㄧㄚˋ ㄉㄤˋ,ㄑㄧㄚˋ ㄉㄤ,恰當󠇡,U+6070 U+7576 U+E01E1,當:IVS+1,
恰如其分,ㄑㄧㄚˋ ㄖㄨˊ ㄑㄧˊ ㄈㄣˋ,ㄑㄧㄚˋ ㄖㄨˊ ㄑㄧˊ ㄈㄣ,恰如其分󠇡,U+6070 U+5982 U+5176 U+5206 U+E01E1,分:IVS+1,
伽藍,ㄑㄧㄝˊ ㄌㄢˊ,ㄐㄧㄚ ㄌㄢˊ,伽󠇡藍,U+4F3D U+E01E1 U+85CD,伽:IVS+1,
茄子,ㄑㄧㄝˊ ˙ㄗ,ㄑㄧㄝˊ ㄗˇ,茄子󠇡,U+8304 U+5B50 U+E01E1,子:IVS+1,
切盼,ㄑㄧㄝˋ ㄆㄢˋ,ㄑㄧㄝ ㄆㄢˋ,切󠇡盼,U+5207 U+E01E1 U+76FC,切:IVS+1,
切莫,ㄑㄧㄝˋ ㄇㄛˋ,ㄑㄧㄝ ㄇㄛˋ,切󠇡莫,U+5207 U+E01E1 U+83AB,切:IVS+1,
切脈,ㄑㄧㄝˋ ㄇㄞˋ,ㄑㄧㄝ ㄇㄞˋ,切󠇡脈,U+5207 U+E01E1 U+8108,切:IVS+1,
切膚之痛,ㄑㄧㄝˋ ㄈㄨ ㄓ ㄊㄨㄥˋ,ㄑㄧㄝ ㄈㄨ ㄓ ㄊㄨㄥˋ,切󠇡膚之痛,U+5207 U+E01E1 U+819A U+4E4B U+75DB,切:IVS+1,
切合,ㄑㄧㄝˋ ㄏㄜˊ,ㄑㄧㄝ ㄏㄜˊ,切󠇡合,U+5207 U+E01E1 U+5408,切:IVS+1,
切忌,ㄑㄧㄝˋ ㄐㄧˋ,ㄑㄧㄝ ㄐㄧˋ,切󠇡忌,U+5207 U+E01E1 U+5FCC,切:IVS+1,
切記,ㄑㄧㄝˋ ㄐㄧˋ,ㄑㄧㄝ ㄐㄧˋ,切󠇡記,U+5207 U+E01E1 U+8A18,切:IVS+1,
切結,ㄑㄧㄝˋ ㄐㄧㄝˊ,ㄑㄧㄝ ㄐㄧㄝˊ,切󠇡結,U+5207 U+E01E1 U+7D50,切:IVS+1,
切結書,ㄑㄧㄝˋ ㄐㄧㄝˊ ㄕㄨ,ㄑㄧㄝ ㄐㄧㄝˊ ㄕㄨ,切󠇡結書,U+5207 U+E01E1 U+7D50 U+66F8,切:IVS+1,
切中時弊,ㄑㄧㄝˋ ㄓㄨㄥˋ ㄕˊ ㄅㄧˋ,ㄑㄧㄝ ㄓㄨㄥ ㄕˊ ㄅㄧˋ,切󠇡中󠇡時弊,U+5207 U+E01E1 U+4E2D U+E01E1 U+6642 U+5F0A,切:IVS+1; 中:IVS+1,
切齒,ㄑㄧㄝˋ ㄔˇ,ㄑㄧㄝ ㄔˇ,切󠇡齒,U+5207 U+E01E1 U+9F52,切:IVS+1,
切實,ㄑㄧㄝˋ ㄕˊ,ㄑㄧㄝ ㄕˊ,切󠇡實,U+5207 U+E01E1 U+5BE6,切:IVS+1,
切身,ㄑㄧㄝˋ ㄕㄣ,ㄑㄧㄝ ㄕㄣ,切󠇡身,U+5207 U+E01E1 U+8EAB,切:IVS+1,
切勿,ㄑㄧㄝˋ ㄨˋ,ㄑㄧㄝ ㄨˋ,切󠇡勿,U+5207 U+E01E1 U+52FF,切:IVS+1,
蹺辮子,ㄑㄧㄠ ㄅㄧㄢˋ ˙ㄗ,ㄑㄧㄠ ㄅㄧㄢˋ ㄗˇ,蹺辮子󠇡,U+8E7A U+8FAE U+5B50 U+E01E1,子:IVS+1,
翹楚,ㄑㄧㄠˊ ㄔㄨˇ,ㄑㄧㄠˋ ㄔㄨˇ,翹󠇡楚,U+7FF9 U+E01E1 U+695A,翹:IVS+1,
翹首,ㄑㄧㄠˊ ㄕㄡˇ,ㄑㄧㄠˋ ㄕㄡˇ,翹󠇡首,U+7FF9 U+E01E1 U+9996,翹:IVS+1,
翹首盼望,ㄑㄧㄠˊ ㄕㄡˇ ㄆㄢˋ ㄨㄤˋ,ㄑㄧㄠˋ ㄕㄡˇ ㄆㄢˋ ㄨㄤˋ,翹󠇡首盼望,U+7FF9 U+E01E1 U+9996 U+76FC U+671B,翹:IVS+1,
翹辮子,ㄑㄧㄠˋ ㄅㄧㄢˋ ˙ㄗ,ㄑㄧㄠˋ ㄅㄧㄢˋ ㄗˇ,翹辮子󠇡,U+7FF9 U+8FAE U+5B50 U+E01E1,子:IVS+1,
龜茲,ㄑㄧㄡ ㄘˊ,ㄍㄨㄟ ㄗ,龜󠇢茲󠇡,U+9F9C U+E01E2 U+8332 U+E01E1,龜:IVS+2; 茲:IVS+1,
求好心切,ㄑㄧㄡˊ ㄏㄠˇ ㄒㄧㄣ ㄑㄧㄝˋ,ㄑㄧㄡˊ ㄏㄠˇ ㄒㄧㄣ ㄑㄧㄝ,求好心切󠇡,U+6C42 U+597D U+5FC3 U+5207 U+E01E1,切:IVS+1,
酋長,ㄑㄧㄡˊ ㄓㄤˇ,ㄑㄧㄡˊ ㄔㄤˊ,酋長󠇡,U+914B U+9577 U+E01E1,長:IVS+1,
千挑萬選,ㄑㄧㄢ ㄊㄧㄠ ㄨㄢˋ ㄒㄩㄢˇ,ㄑㄧㄢ ㄊㄧㄠˇ ㄨㄢˋ ㄒㄩㄢˇ,千挑󠇡萬選,U+5343 U+6311 U+E01E1 U+842C U+9078,挑:IVS+1,
千載難逢,ㄑㄧㄢ ㄗㄞˇ ㄋㄢˊ ㄈㄥˊ,ㄑㄧㄢ ㄗㄞˋ ㄋㄢˊ ㄈㄥˊ,千載󠇡難逢,U+5343 U+8F09 U+E01E1 U+96E3 U+9022,載:IVS+1,
牽強,ㄑㄧㄢ ㄑㄧㄤˇ,ㄑㄧㄢ ㄑㄧㄤˊ,牽強󠇡,U+727D U+5F37 U+E01E1,強:IVS+1,
牽強附會,ㄑㄧㄢ ㄑㄧㄤˇ ㄈㄨˋ ㄏㄨㄟˋ,ㄑㄧㄢ ㄑㄧㄤˊ ㄈㄨˋ ㄏㄨㄟˋ,牽強󠇡附會,U+727D U+5F37 U+E01E1 U+9644 U+6703,強:IVS+1,
鉛中毒,ㄑㄧㄢ ㄓㄨㄥˋ ㄉㄨˊ,ㄑㄧㄢ ㄓㄨㄥ ㄉㄨˊ,鉛中󠇡毒,U+925B U+4E2D U+E01E1 U+6BD2,中:IVS+1,
簽署,ㄑㄧㄢ ㄕㄨˋ,ㄑㄧㄢ ㄕㄨˇ,簽署󠇡,U+7C3D U+7F72 U+E01E1,署:IVS+1,
遷調,ㄑㄧㄢ ㄉㄧㄠˋ,ㄑㄧㄢ ㄊㄧㄠˊ,遷調󠇡,U+9077 U+8ABF U+E01E1,調:IVS+1,
遷都,ㄑㄧㄢ ㄉㄨ,ㄑㄧㄢ ㄉㄡ,遷都󠇡,U+9077 U+90FD U+E01E1,都:IVS+1,
前頭,ㄑㄧㄢˊ ˙ㄊㄡ,ㄑㄧㄢˊ ㄊㄡˊ,前頭󠇡,U+524D U+982D U+E01E1,頭:IVS+1,
乾坤,ㄑㄧㄢˊ ㄎㄨㄣ,ㄍㄢ ㄎㄨㄣ,乾󠇡坤,U+4E7E U+E01E1 U+5764,乾:IVS+1,
鉗子,ㄑㄧㄢˊ ˙ㄗ,ㄑㄧㄢˊ ㄗˇ,鉗子󠇡,U+9257 U+5B50 U+E01E1,子:IVS+1,
欠當,ㄑㄧㄢˋ ㄉㄤˋ,ㄑㄧㄢˋ ㄉㄤ,欠當󠇡,U+6B20 U+7576 U+E01E1,當:IVS+1,
欽差,ㄑㄧㄣ ㄔㄞ,ㄑㄧㄣ ㄔㄚ,欽差󠇡,U+6B3D U+5DEE U+E01E1,差:IVS+1,
親切,ㄑㄧㄣ ㄑㄧㄝˋ,ㄑㄧㄣ ㄑㄧㄝ,親切󠇡,U+89AA U+5207 U+E01E1,切:IVS+1,
腔調,ㄑㄧㄤ ㄉㄧㄠˋ,ㄑㄧㄤ ㄊㄧㄠˊ,腔調󠇡,U+8154 U+8ABF U+E01E1,調:IVS+1,
槍把,ㄑㄧㄤ ㄅㄚˋ,ㄑㄧㄤ ㄅㄚˇ,槍把󠇡,U+69CD U+628A U+E01E1,把:IVS+1,
槍桿子,ㄑㄧㄤ ㄍㄢˇ ˙ㄗ,ㄑㄧㄤ ㄍㄢˇ ㄗˇ,槍桿子󠇡,U+69CD U+687F U+5B50 U+E01E1,子:IVS+1,
鏹水,ㄑㄧㄤ ㄕㄨㄟˇ,ㄑㄧㄤˇ ㄕㄨㄟˇ,鏹󠇡水,U+93F9 U+E01E1 U+6C34,鏹:IVS+1,
強調,ㄑㄧㄤˊ ㄉㄧㄠˋ,ㄑㄧㄤˊ ㄊㄧㄠˊ,強調󠇡,U+5F37 U+8ABF U+E01E1,調:IVS+1,
強橫,ㄑㄧㄤˊ ㄏㄥˋ,ㄑㄧㄤˊ ㄏㄥˊ,強橫󠇡,U+5F37 U+6A6B U+E01E1,橫:IVS+1,
強將手下無弱兵,ㄑㄧㄤˊ ㄐㄧㄤˋ ㄕㄡˇ ㄒㄧㄚˋ ㄨˊ ㄖㄨㄛˋ ㄅㄧㄥ,ㄑㄧㄤˊ ㄐㄧㄤ ㄕㄡˇ ㄒㄧㄚˋ ㄨˊ ㄖㄨㄛˋ ㄅㄧㄥ,強將󠇡手下無弱兵,U+5F37 U+5C07 U+E01E1 U+624B U+4E0B U+7121 U+5F31 U+5175,將:IVS+1,
強盛,ㄑㄧㄤˊ ㄕㄥˋ,ㄑㄧㄤˊ ㄔㄥˊ,強盛󠇡,U+5F37 U+76DB U+E01E1,盛:IVS+1,
強迫,ㄑㄧㄤˇ ㄆㄛˋ,ㄑㄧㄤˊ ㄆㄛˋ,強󠇡迫,U+5F37 U+E01E1 U+8FEB,強:IVS+1,
強迫中獎,ㄑㄧㄤˇ ㄆㄛˋ ㄓㄨㄥˋ ㄐㄧㄤˇ,ㄑㄧㄤˊ ㄆㄛˋ ㄓㄨㄥ ㄐㄧㄤˇ,強󠇡迫中󠇡獎,U+5F37 U+E01E1 U+8FEB U+4E2D U+E01E1 U+734E,強:IVS+1; 中:IVS+1,
強求,ㄑㄧㄤˇ ㄑㄧㄡˊ,ㄑㄧㄤˊ ㄑㄧㄡˊ,強󠇡求,U+5F37 U+E01E1 U+6C42,強:IVS+1,
強行,ㄑㄧㄤˇ ㄒㄧㄥˊ,ㄑㄧㄤˊ ㄒㄧㄥˊ,強󠇡行,U+5F37 U+E01E1 U+884C,強:IVS+1,
強制,ㄑㄧㄤˇ ㄓˋ,ㄑㄧㄤˊ ㄓˋ,強󠇡制,U+5F37 U+E01E1 U+5236,強:IVS+1,
強制保險,ㄑㄧㄤˇ ㄓˋ ㄅㄠˇ ㄒㄧㄢˇ,ㄑㄧㄤˊ ㄓˋ ㄅㄠˇ ㄒㄧㄢˇ,強󠇡制保險,U+5F37 U+E01E1 U+5236 U+4FDD U+96AA,強:IVS+1,
強制執行,ㄑㄧㄤˇ ㄓˋ ㄓˊ ㄒㄧㄥˊ,ㄑㄧㄤˊ ㄓˋ ㄓˊ ㄒㄧㄥˊ,強󠇡制執行,U+5F37 U+E01E1 U+5236 U+57F7 U+884C,強:IVS+1,
強人所難,ㄑㄧㄤˇ ㄖㄣˊ ㄙㄨㄛˇ ㄋㄢˊ,ㄑㄧㄤˊ ㄖㄣˊ ㄙㄨㄛˇ ㄋㄢˊ,強󠇡人所難,U+5F37 U+E01E1 U+4EBA U+6240 U+96E3,強:IVS+1,
強忍,ㄑㄧㄤˇ ㄖㄣˇ,ㄑㄧㄤˊ ㄖㄣˇ,強󠇡忍,U+5F37 U+E01E1 U+5FCD,強:IVS+1,
強詞奪理,ㄑㄧㄤˇ ㄘˊ ㄉㄨㄛˊ ㄌㄧˇ,ㄑㄧㄤˊ ㄘˊ ㄉㄨㄛˊ ㄌㄧˇ,強󠇡詞奪理,U+5F37 U+E01E1 U+8A5E U+596A U+7406,強:IVS+1,
強顏歡笑,ㄑㄧㄤˇ ㄧㄢˊ ㄏㄨㄢ ㄒㄧㄠˋ,ㄑㄧㄤˊ ㄧㄢˊ ㄏㄨㄢ ㄒㄧㄠˋ,強󠇡顏歡笑,U+5F37 U+E01E1 U+984F U+6B61 U+7B11,強:IVS+1,
搶風頭,ㄑㄧㄤˇ ㄈㄥ ˙ㄊㄡ,ㄑㄧㄤˇ ㄈㄥ ㄊㄡˊ,搶風頭󠇡,U+6436 U+98A8 U+982D U+E01E1,頭:IVS+1,
搶盡鋒頭,ㄑㄧㄤˇ ㄐㄧㄣˋ ㄈㄥ ˙ㄊㄡ,ㄑㄧㄤˇ ㄐㄧㄣˋ ㄈㄥ ㄊㄡˊ,搶盡鋒頭󠇡,U+6436 U+76E1 U+92D2 U+982D U+E01E1,頭:IVS+1,
青少年,ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ,ㄑㄧㄥ ㄕㄠˇ ㄋㄧㄢˊ,青少󠇡年,U+9752 U+5C11 U+E01E1 U+5E74,少:IVS+1,
輕佻,ㄑㄧㄥ ㄊㄧㄠˊ,ㄑㄧㄥ ㄊㄧㄠ,輕佻󠇡,U+8F15 U+4F7B U+E01E1,佻:IVS+1,
輕車簡從,ㄑㄧㄥ ㄔㄜ ㄐㄧㄢˇ ㄗㄨㄥˋ,ㄑㄧㄥ ㄔㄜ ㄐㄧㄢˇ ㄘㄨㄥˊ,輕車簡從󠇡,U+8F15 U+8ECA U+7C21 U+5F9E U+E01E1,從:IVS+1,
輕率,ㄑㄧㄥ ㄕㄨㄞˋ,ㄑㄧㄥ ㄌㄩˋ,輕率󠇡,U+8F15 U+7387 U+E01E1,率:IVS+1,
輕水反應器,ㄑㄧㄥ ㄕㄨㄟˇ ㄈㄢˇ ㄧㄥˋ ㄑㄧˋ,ㄑㄧㄥ ㄕㄨㄟˇ ㄈㄢˇ ㄧㄥ ㄑㄧˋ,輕水反應󠇡器,U+8F15 U+6C34 U+53CD U+61C9 U+E01E1 U+5668,應:IVS+1,
輕財好義,ㄑㄧㄥ ㄘㄞˊ ㄏㄠˋ ㄧˋ,ㄑㄧㄥ ㄘㄞˊ ㄏㄠˇ ㄧˋ,輕財好󠇡義,U+8F15 U+8CA1 U+597D U+E01E1 U+7FA9,好:IVS+1,
輕音樂,ㄑㄧㄥ ㄧㄣ ㄩㄝˋ,ㄑㄧㄥ ㄧㄣ ㄌㄜˋ,輕音樂󠇡,U+8F15 U+97F3 U+6A02 U+E01E1,樂:IVS+1,
傾囊相授,ㄑㄧㄥ ㄋㄤˊ ㄒㄧㄤ ㄕㄡˋ,ㄑㄧㄥ ㄋㄤˊ ㄒㄧㄤˋ ㄕㄡˋ,傾囊相󠇡授,U+50BE U+56CA U+76F8 U+E01E1 U+6388,相:IVS+1,
傾軋,ㄑㄧㄥ ㄧㄚˋ,ㄑㄧㄥ ㄍㄚˊ,傾軋󠇡,U+50BE U+8ECB U+E01E1,軋:IVS+1,
情不自禁,ㄑㄧㄥˊ ㄅㄨˋ ㄗˋ ㄐㄧㄣ,ㄑㄧㄥˊ ㄅㄨˋ ㄗˋ ㄐㄧㄣˋ,情不自禁󠇡,U+60C5 U+4E0D U+81EA U+7981 U+E01E1,禁:IVS+1,
情分,ㄑㄧㄥˊ ㄈㄣˋ,ㄑㄧㄥˊ ㄈㄣ,情分󠇡,U+60C5 U+5206 U+E01E1,分:IVS+1,
情調,ㄑㄧㄥˊ ㄉㄧㄠˋ,ㄑㄧㄥˊ ㄊㄧㄠˊ,情調󠇡,U+60C5 U+8ABF U+E01E1,調:IVS+1,
請假,ㄑㄧㄥˇ ㄐㄧㄚˋ,ㄑㄧㄥˇ ㄐㄧㄚˇ,請假󠇡,U+8ACB U+5047 U+E01E1,假:IVS+1,
親家,ㄑㄧㄥˋ ㄐㄧㄚ,ㄑㄧㄣ ㄐㄧㄚ,親󠇡家,U+89AA U+E01E1 U+5BB6,親:IVS+1,
曲棍球,ㄑㄩ ㄍㄨㄣˋ ㄑㄧㄡˊ,ㄑㄩˇ ㄍㄨㄣˋ ㄑㄧㄡˊ,曲󠇡棍球,U+66F2 U+E01E1 U+68CD U+7403,曲:IVS+1,
曲解,ㄑㄩ ㄐㄧㄝˇ,ㄑㄩˇ ㄐㄧㄝˇ,曲󠇡解,U+66F2 U+E01E1 U+89E3,曲:IVS+1,
曲徑通幽,ㄑㄩ ㄐㄧㄥˋ ㄊㄨㄥ ㄧㄡ,ㄑㄩˇ ㄐㄧㄥˋ ㄊㄨㄥ ㄧㄡ,曲󠇡徑通幽,U+66F2 U+E01E1 U+5F91 U+901A U+5E7D,曲:IVS+1,
曲球,ㄑㄩ ㄑㄧㄡˊ,ㄑㄩˇ ㄑㄧㄡˊ,曲󠇡球,U+66F2 U+E01E1 U+7403,曲:IVS+1,
曲線,ㄑㄩ ㄒㄧㄢˋ,ㄑㄩˇ ㄒㄧㄢˋ,曲󠇡線,U+66F2 U+E01E1 U+7DDA,曲:IVS+1,
曲直,ㄑㄩ ㄓˊ,ㄑㄩˇ ㄓˊ,曲󠇡直,U+66F2 U+E01E1 U+76F4,曲:IVS+1,
曲折,ㄑㄩ ㄓㄜˊ,ㄑㄩˇ ㄓㄜˊ,曲󠇡折,U+66F2 U+E01E1 U+6298,曲:IVS+1,
曲折離奇,ㄑㄩ ㄓㄜˊ ㄌㄧˊ ㄑㄧˊ,ㄑㄩˇ ㄓㄜˊ ㄌㄧˊ ㄑㄧˊ,曲󠇡折離奇,U+66F2 U+E01E1 U+6298 U+96E2 U+5947,曲:IVS+1,
曲尺,ㄑㄩ ㄔˇ,ㄑㄩˇ ㄔˇ,曲󠇡尺,U+66F2 U+E01E1 U+5C3A,曲:IVS+1,
曲水流觴,ㄑㄩ ㄕㄨㄟˇ ㄌㄧㄡˊ ㄕㄤ,ㄑㄩˇ ㄕㄨㄟˇ ㄌㄧㄡˊ ㄕㄤ,曲󠇡水流觴,U+66F2 U+E01E1 U+6C34 U+6D41 U+89F4,曲:IVS+1,
曲意逢迎,ㄑㄩ ㄧˋ ㄈㄥˊ ㄧㄥˊ,ㄑㄩˇ ㄧˋ ㄈㄥˊ ㄧㄥˊ,曲󠇡意逢迎,U+66F2 U+E01E1 U+610F U+9022 U+8FCE,曲:IVS+1,
蛐蛐兒,ㄑㄩ ㄑㄩ ㄦ,ㄑㄩ ㄑㄩ ㄦˊ,蛐蛐兒󠇡,U+86D0 U+86D0 U+5152 U+E01E1,兒:IVS+1,
屈指可數,ㄑㄩ ㄓˇ ㄎㄜˇ ㄕㄨˇ,ㄑㄩ ㄓˇ ㄎㄜˇ ㄕㄨˋ,屈指可數󠇡,U+5C48 U+6307 U+53EF U+6578 U+E01E1,數:IVS+1,
曲調,ㄑㄩˇ ㄉㄧㄠˋ,ㄑㄩˇ ㄊㄧㄠˊ,曲調󠇡,U+66F2 U+8ABF U+E01E1,調:IVS+1,
曲高和寡,ㄑㄩˇ ㄍㄠ ㄏㄜˋ ㄍㄨㄚˇ,ㄑㄩˇ ㄍㄠ ㄏㄜˊ ㄍㄨㄚˇ,曲高和󠇢寡,U+66F2 U+9AD8 U+548C U+E01E2 U+5BE1,和:IVS+2,
曲子,ㄑㄩˇ ˙ㄗ,ㄑㄩˇ ㄗˇ,曲子󠇡,U+66F2 U+5B50 U+E01E1,子:IVS+1,
去處,ㄑㄩˋ ㄔㄨˋ,ㄑㄩˋ ㄔㄨˇ,去處󠇡,U+53BB U+8655 U+E01E1,處:IVS+1,
雀屏中選,ㄑㄩㄝˋ ㄆㄧㄥˊ ㄓㄨㄥˋ ㄒㄩㄢˇ,ㄑㄩㄝˋ ㄆㄧㄥˊ ㄓㄨㄥ ㄒㄩㄢˇ,雀屏中󠇡選,U+96C0 U+5C4F U+4E2D U+E01E1 U+9078,中:IVS+1,
確切,ㄑㄩㄝˋ ㄑㄧㄝˋ,ㄑㄩㄝˋ ㄑㄧㄝ,確切󠇡,U+78BA U+5207 U+E01E1,切:IVS+1,
圈子,ㄑㄩㄢ ˙ㄗ,ㄑㄩㄢ ㄗˇ,圈子󠇡,U+5708 U+5B50 U+E01E1,子:IVS+1,
全軍覆沒,ㄑㄩㄢˊ ㄐㄩㄣ ㄈㄨˋ ㄇㄛˋ,ㄑㄩㄢˊ ㄐㄩㄣ ㄈㄨˋ ㄇㄟˊ,全軍覆沒󠇡,U+5168 U+8ECD U+8986 U+6C92 U+E01E1,沒:IVS+1,
全職媽媽,ㄑㄩㄢˊ ㄓˊ ㄇㄚ ˙ㄇㄚ,ㄑㄩㄢˊ ㄓˊ ㄇㄚ ㄇㄚ,全職媽媽󠇡,U+5168 U+8077 U+5ABD U+5ABD U+E01E1,媽:IVS+1,
全盛,ㄑㄩㄢˊ ㄕㄥˋ,ㄑㄩㄢˊ ㄔㄥˊ,全盛󠇡,U+5168 U+76DB U+E01E1,盛:IVS+1,
拳頭,ㄑㄩㄢˊ ˙ㄊㄡ,ㄑㄩㄢˊ ㄊㄡˊ,拳頭󠇡,U+62F3 U+982D U+E01E1,頭:IVS+1,
蜷曲,ㄑㄩㄢˊ ㄑㄩ,ㄑㄩㄢˊ ㄑㄩˇ,蜷曲󠇡,U+8737 U+66F2 U+E01E1,曲:IVS+1,
